Título,Detalhes,Link Página Edital,PDFs
Comando da Aeronáutica,Aeronáutica anuncia novo Processo Seletivo para o curso de formação de sargentos,https://www.pciconcursos.com.br/noticias/aeronautica-anuncia-novo-processo-seletivo-para-o-curso-de-formacao-de-sargentos,['data/raw/edital_de_abertura_n_01_2026_1668576.pdf']
Ibama - Instituto Brasileiro do Meio Ambiente e dos Recursos Naturais Renováveis,Ibama anuncia abertura de Concurso Público com 460 vagas,https://www.pciconcursos.com.br/noticias/ibama-anuncia-abertura-de-concurso-publico-com-460-vagas,['data/raw/edital_de_abertura_n_01_2025_1669009.pdf']
Marinha do Brasil (CPAEAM),Marinha do Brasil divulga Concurso Público com 800 vagas para Aprendizes-Marinheiros,https://www.pciconcursos.com.br/noticias/marinha-do-brasil-divulga-concurso-publico-com-800-vagas-para-aprendizes-marinheiros,['data/raw/edital_de_abertura_1666599.pdf']
MPU - Ministério Público da União,MPU retifica Concurso com 172 vagas para Analistas e Técnicos,https://www.pciconcursos.com.br/noticias/mpu-retifica-concurso-com-172-vagas-para-analistas-e-tecnicos,"['data/raw/edital_de_abertura_n_01_2025_1668098.pdf', 'data/raw/retificacao_i_1668673.pdf']"
AEB - Agência Espacial Brasileira,"Agência Espacial Brasileira retifica Concurso Público com salários de até R$ 10,8 mil",https://www.pciconcursos.com.br/noticias/agencia-espacial-brasileira-retifica-concurso-publico-com-salarios-de-ate-10-8-mil,"['data/raw/edital_de_abertura_n_1_1667852.pdf', 'data/raw/retificacao_i_1668607.pdf']"
CNEN - Comissão Nacional de Energia Nuclear,CNEN divulga Concurso Público com 150 vagas,https://www.pciconcursos.com.br/noticias/cnen-divulga-concurso-publico-com-150-vagas,['data/raw/edital_de_abertura_n_01_2025_1669365.pdf']
EBSERH - Empresa Brasileira de Serviços Hospitalares,EBSERH retifica um dos Concursos Públicos com 347 vagas para diversas áreas,https://www.pciconcursos.com.br/noticias/ebserh-retifica-um-dos-concursos-publicos-com-347-vagas-para-diversas-areas,"['data/raw/edital_de_abertura_n_03_2024_retificado_1667514.pdf', 'data/raw/retificacao_i_edital_de_abertura_n_03_2024_1667801.pdf', 'data/raw/retificacao_ii_edital_de_abertura_n_03_2024_1668498.pdf', 'data/raw/edital_de_abertura_n_04_2024_retificado_1667515.pdf', 'data/raw/retificacao_i_edital_de_abertura_n_04_2024_1667802.pdf']"
Empresa Brasileira de Petróleo e Gás Natural - Pré-Sal Petróleo (PPSA),"Pré-Sal Petróleo S/A realiza Concurso Público com salários de até 19,2 mil",https://www.pciconcursos.com.br/noticias/pre-sal-petroleo-s-a-realiza-concurso-publico-com-salarios-de-ate-19-2-mil,['data/raw/edital_de_abertura_n_1_2025_1668993.pdf']
FUNAI - Fundação Nacional dos Povos Indígenas,FUNAI divulga Processo Seletivo com 25 vagas para profissionais de nível superior,https://www.pciconcursos.com.br/noticias/funai-divulga-processo-seletivo-com-25-vagas-para-profissionais-de-nivel-superior,['data/raw/edital_de_abertura_n_02_2025_1669242.pdf']
IBGE - Instituto Brasileiro de Geografia e Estatística,IBGE divulga Processo Seletivo com 30 vagas,https://www.pciconcursos.com.br/noticias/ibge-divulga-processo-seletivo-com-30-vagas,['data/raw/edital_de_abertura_n_01_2025_1669425.pdf']
ICMBio - Instituto Chico Mendes de Conservação da Biodiversidade - Brasília,ICMBio reabre inscrições de Concurso Público com 350 vagas,https://www.pciconcursos.com.br/noticias/icmbio-reabre-inscricoes-de-concurso-publico-com-350-vagas,"['data/raw/edital_de_abertura_n_01_2024_1666654.pdf', 'data/raw/reabertura_das_incricoes_1668399.pdf']"
Marinha do Brasil (C-FSD-FN),Marinha abre Concurso Público com 1.680 vagas para Soldado Fuzileiro Naval,https://www.pciconcursos.com.br/noticias/marinha-abre-concurso-publico-com-1680-vagas-para-soldado-fuzileiro-naval,['data/raw/edital_de_abertura_1668617.pdf']
TRF - Tribunal Regional Federal - 5ª Região,TRF da 5ª Região divulga Concurso Público para Juiz Substituto,https://www.pciconcursos.com.br/noticias/trf-da-5-regiao-divulga-concurso-publico-para-juiz-substituto,"['data/raw/edital_de_abertura_n_01_2025_1668483.pdf', 'data/raw/edital_completo_1668522.pdf']"
